Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q27,Q28,Q29,Q30,Q31
114,Femenino,50,Ama de casa,Soledad,5,En general hay mucha inseguridad en San Luis,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:Otros:,10,No,"Hay mucha inseguridad,y el trafico",Tener la certeza de qye van a llegar bien,2,ok
115,Masculino,33,ingeniero,san leonel,8,vigilancia,10,Baches:,10,Si,"en camion, por la edad, es responsable, no hay estacionamiento",transporte escolar,8,ok
117,Femenino,60,Casa,No es de aqui,2,La gente,5,Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Pasos a nivel:,7,No,No traigo hijos ,"Cambiar la gente ,asi se comienza ",1,ok
118,Masculino,60,médico,guanos,1,"dismunuir compra de autos, ",10,Áreas Verdes:,10,No,inseguridad,cambiar completamente la educación,6,ok
119,Femenino,38,ingeniero civil,aviacion ,8,vigilancia,10,Baches:Banquetas:,10,Si,algunas veces para ahorrar gasoiina,cercaniaby seguridsd,2,ok
120,Femenino,49,maestria en educación,central de maquinaria,7,vambiaria la moviludas de transporte colectivo que haya para hombres y mujeres el transporte rosa,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Rejas de alcantarillado:,10,Si,en la mañana mucjos llegan caminando a carranza y los papas dejan los coches a unas cuadras,que haya muchsisima vigiñanco ano solo del colegio sino municipal,5,ok
121,Femenino,47,psicologa,cuautehmoc ,7,"iluminacion, vigilancia por la soledad ",4,Iluminación:Baches:Banquetas:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:,10,No,por la edad y la inseguridad ,seguridad y educacion vial,6,ok
122,Femenino,52,ama de  casa,esmeralda,3,seguridad,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:Otros:,10,Si,por la  cercania, seguridad,4,ok
123,Femenino,45,hogar,cactus,8,inseguridad,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:Otros:,8,Si,salud para ellos y menos contaminacion,seguridad,4,ok
124,Masculino,35,Medico,Tequid,9,Nada,10,Baches:,7,No,Estan muy pequeños,Que crezca,7,ok
125,Femenino,36,maestra,fraccionamiento las hadas,0,"mas seguridad, camaras",10,Baches:Banquetas:Pasos de cebra:,10,No,es retirado ,transporte escolar,4,ok
126,Femenino,28,estilista canino,pozos,7,mayor vigilancia y transitos,9,Baches:Áreas Verdes:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:,10,No,son pequeños y por falta de tiempo,que tuviera mas edad y vivir cerca,2,ok
127,Femenino,34,diseñador grafico,alamitos,7,"precaucion, vigilancia, cultura social",7,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:Otros:,8,No,miedo,transporte escolar,10,ok
128,Femenino,46,contador,villa magna,7,atenciin de transitobus eguridsd,10,Otros:,10,No,inseguridsd,seguridad vial,4,ok
129,Femenino,69,ama de  casa,polanco,5,autoridades,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:Otros:,10,Si,por la  cercania,seguridad,3,ok
131,Masculino,40,Arquitecto,Jacarandas,5,Luminaria,6,Iluminación:Baches:Banquetas:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:,9,No,Inseguridad,Educar,2,ok
132,Masculino,48,ingeniero,el dorado,7,iluminacion,10,Iluminación:Baches:,10,No,Inseguridad,seguridad,8,ok
134,Femenino,42,abogada,jardines del estadio 2,7,mas policias,8,Iluminación:Baches:Otros:,10,No,es muy pequeño el niño,que creciera ,5,ok
135,Femenino,39,ama de casa,rosedal,7,educacion. vial,10,Iluminación:Baches:Banquetas:,10,Si,seguridad,seguridad,7,ok
136,Masculino,40,Medico,jacarandas,8,Mejor iluminacion,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos a nivel:,9,No,Esta muy lejos,esta muy lejos,6,ok
137,Femenino,35,QFB,Hacienda San Miguel,5,elementos de seguridad privada,1,Baches:,8,No,está muy lejos,escuelas más cerca y más edad,4,ok
